nct_id,study_title,inclusion_criteria,inclusion_criteria_questions
NCT06061692,"Tongxinluo Capsule in the Treatment of Cerebral Small Vessel Disease-A Randomized, Double-blind, Placebo-controlled, Multicenter Clinical Study（TOPS-CSVD）","

1. Age 50-80 years (both inclusive);
2. Complaints of cognitive impairment involving memory and/or other cognitive domains for at least 3 months;
3. Neither normal nor demented cognitive level according to DSM-V criteria, MMSE scale score ≥20 (elementary school) or ≥24 (junior high school and above); CDR scale score ≥0.5 in at least one domain and overall CDR score ≤1;
4. MRI has: ① moderate to severe white matter lesions (deep Fazekas score \> 1 or paraventricular Fazekas score \> 2); Mild white matter hyperintensity (deep Fazekas score = 1 or paraventricular Fazekas score = 2) combined with more than 1 lacunar infarction or more than 3 microbleeds foci. ② Absence of old cortical or watershed infarction, cerebral hemorrhage, hydrocephalus, and other cerebral white matter lesions of definite etiology (e.g., multiple sclerosis, metabolic, toxic, etc.);
5. Voluntary participation in the study and willing to sign the Informed Consent Form.

","[""What is your current age?"", ""Have you been experiencing cognitive impairment involving memory and/or other cognitive domains for at least 3 months?"", ""According to the DSM-V criteria and the MMSE scale, is your cognitive level neither normal nor demented, with a score of \u226520 (if you have an elementary school education) or \u226524 (if you have a junior high school education or above)?"", ""Do you have a Clinical Dementia Rating (CDR) scale score of \u22650.5 in at least one domain and an overall CDR score of \u22641?"", ""Does your MRI show moderate to severe white matter lesions (deep Fazekas score > 1 or paraventricular Fazekas score > 2) or mild white matter hyperintensity (deep Fazekas score = 1 or paraventricular Fazekas score = 2) combined with more than 1 lacunar infarction or more than 3 microbleeds foci?"", ""Is there an absence of old cortical or watershed infarction, cerebral hemorrhage, hydrocephalus, and other cerebral white matter lesions of a definite etiology on your MRI?"", ""Are you willing to voluntarily participate in this study and sign the Informed Consent Form?""]"
NCT05111444,Camrelizumab Plus Pyrotinib Plus Chemotherapy in Human Epidermal Growth Factor Receptor 2 Positive (HER2+) Advanced Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma,"

1. Age 18 years or older.
2. Histologically or cytologically confirmed diagnosis of locally advanced unresectable or metastatic HER2 positive gastric or GEJ adenocarcinoma.
3. Patients have not received systemic treatment in the past but had disease progression more than 6 months after receiving neoadjuvant therapy or the last of adjuvant therapy could be enrolled or failure of first-line therapy or completion of (new) adjuvant therapy to disease recurrence less than 6 months.
4. HER2-positive defined as either immunohistochemistry (IHC) 3+ or IHC 2+ in combination with fluorescent in-situ hybridization (FISH+ is defined as HER2:CEP17 ratio≥2.0), as assessed by central review on primary or metastatic tumor.
5. ECOG performance status 0-1.
6. At least one measurable lesion exists as defined by RECIST 1.1 .
7. Life expectancy of more than 12 weeks.

","[""Are you 18 years of age or older?"", ""Has your diagnosis of gastric or GEJ adenocarcinoma been confirmed as locally advanced unresectable or metastatic and HER2 positive?"", ""Have you ever received systemic treatment before?"", ""If you had neoadjuvant therapy, did disease progression occur more than 6 months after treatment?"", ""Was your HER2 status defined as IHC 3+ or IHC 2+ with FISH+ (HER2:CEP17 ratio\u22652.0)?"", ""What is your ECOG performance status (0-1)?"", ""Do you have at least one measurable lesion as per RECIST 1.1 criteria?"", ""Is your life expectancy more than 12 weeks?""]"
NCT04677192,Microwave Ablation Combined With Chemotherapy in the Treatment of Pancreatic Cancer Oligohepatic Metastasis,"

* Age: 18 to 75years old, male or female;
* ECOG PS: 0-2 points;
* Patients with pancreatic ductal adenocarcinoma diagnosed by histology or cytology;
* Expected survival time\> 3 months;
* The functions of important organs meet the following requirements;
* The maximum diameter of single lesion ≤ 5cm or the number of multiple lesions ≤ 5 and the maximum diameter ≤ 3cm;
* Measurable lesions that meet RECIST criteria.

  1. Platelet ≥75×109/L, hemoglobin ≥85g/L，white blood cell ≥ 3.0 × 109 / L;
  2. Total bilirubin ≤ 1.5 times upper limit of normal value (ULN) ; ALT and AST ≤ 5 times ULN ;
  3. Albumin ≥ 28g / L;
  4. Creatinine ≤ 1.5 times ULN, or creatinine clearance rate ≥ 50ml / min;
* Women of childbearing age must undergo a negative pregnancy test (βHCG) before starting treatment. Women and men of childbearing age (sexual relationships with women of childbearing age) must agree to use them effectively during treatment and 3 months after the last dose of treatment Contraceptive measures;
* Signature of patient information and informed consent.
* Patients who did not participate in other clinical trials within 4 weeks before screening; those who failed in other trials but met the requirements of this trial could be enrolled.

","[""Are you between the ages of 18 to 75 years old?"", ""What is your ECOG performance status (0-2 points)?"", ""Have you been diagnosed with pancreatic ductal adenocarcinoma by histology or cytology?"", ""Is your expected survival time greater than 3 months?"", ""Do you have measurable lesions that meet RECIST criteria?"", ""Is the maximum diameter of a single lesion \u2264 5cm, or are there \u2264 5 multiple lesions with a maximum diameter \u2264 3cm?"", ""What is your platelet count (must be \u226575\u00d710^9/L)?"", ""What is your hemoglobin level (must be \u226585g/L)?"", ""What is your white blood cell count (must be \u2265 3.0 \u00d7 10^9 / L)?"", ""Is your total bilirubin level \u2264 1.5 times the upper limit of normal?"", ""Are your ALT and AST levels \u2264 5 times the upper limit of normal?"", ""What is your albumin level (must be \u2265 28g / L)?"", ""Is your creatinine level \u2264 1.5 times the upper limit of normal, or is your creatinine clearance rate \u2265 50ml / min?"", ""If you are a woman of childbearing age, have you had a negative pregnancy test (\u03b2HCG)?"", ""If you are of childbearing age and capable of reproduction, do you agree to use effective contraceptive measures during treatment and for 3 months after the last dose?"", ""Have you signed the patient information and informed consent form?"", ""Have you participated in any other clinical trials within 4 weeks before screening?""]"
NCT05577689,Novel Therapy Target in Metastatic Prostate Cancer,"

1. Histologically confirmed prostate cancer
2. metastatic disease confirmed by image examination
3. Patients who can undergo surgery or biopsy for prostate cancer
4. Able to provide informed consent

","[""Has your prostate cancer been confirmed histologically?"", ""Is your disease considered metastatic as confirmed by image examination?"", ""Are you able to undergo surgery or biopsy for your prostate cancer?"", ""Can you provide informed consent for participating in the study?""]"
NCT05848310,Preoperative Serum FGF19 in the Prognosis of Biliary Atresia,"

* Samples diagnosed as biliary atresia in Children's Hospital of Fudan University
* Samples with one-year follow-up records after surgery
* Samples with a record of serum total bilirubin levels three months after surgery
* Samples with preoperative serum left（volume \> 500ul)

","以下是针对所提供的入组标准的英文问题和JSON格式输出：

```json
[
  {
    ""question"": ""Was your child diagnosed with biliary atresia at the Children's Hospital of Fudan University?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  },
  {
    ""question"": ""Do you have a one-year follow-up record after surgery?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  },
  {
    ""question"": ""Is there a record of your serum total bilirubin levels three months after surgery?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  },
  {
    ""question"": ""Did you have at least 500ul of serum left before the operation?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  },
  {
    ""question"": ""Please provide the volume of serum you had before the operation: ___________ ul"",
    ""type"": 1,
    ""option"": []
  }
]
```

以上问题包括了判断题和填空题，用以确认患者是否符合入组标准。"
NCT06218810,"Cadonilimab in Combination With Bevacizumab and FOLFOX Regimen for the First-Line Treatment of Advanced Unresectable MSS-Type, RAS-Mutated Metastatic Colorectal Cancer","

1. Voluntarily sign a written ICF.
2. Age at enrollment: ≥ 18 years old, ≤ 75 years old, both male and female.
3. The Eastern Cancer Collaborative Organization (ECOG) has a physical fitness score of 0 or 1.
4. The expected survival period is ≥ 3 months.
5. Subjects diagnosed with metastatic colorectal adenocarcinoma by histology or cytology.
6. Colorectal cancer patients who have not received systematic anti-tumor therapy in the past and are not suitable for radical surgical resection or local treatment.
7. Genetic testing results indicate pMMR or MSS; RAS mutation;
8. According to RECIST v1.1, there is at least one measurable lesion that is suitable for repeated and accurate measurements. Note: Brain metastases cannot be used as target lesions; For lesions that have received radiation therapy before, it is not recommended to select them as target lesions. If there are no other lesions that meet the target lesion criteria, and the lesion can be measured according to RECIST v1.1 and there is objective evidence to prove significant progression after radiation therapy, the irradiated lesion can be considered as a target lesion.

","[""Have you voluntarily signed a written Informed Consent Form (ICF)?"", ""What is your age?"", ""Is your Eastern Cooperative Oncology Group (ECOG) performance status 0 or 1?"", ""Is your expected survival period greater than or equal to 3 months?"", ""Have you been diagnosed with metastatic colorectal adenocarcinoma by histology or cytology?"", ""Have you not received systemic anti-tumor therapy in the past and are not suitable for radical surgical resection or local treatment for colorectal cancer?"", ""Do your genetic testing results indicate pMMR or MSS and RAS mutation?"", ""Do you have at least one measurable lesion according to RECIST v1.1 that is suitable for repeated and accurate measurements?"", ""Are brain metastases used as target lesions? (Please answer Yes or No)"", ""If a lesion has been irradiated before, would you select it as a target lesion? (Please answer Yes or No)""]"
NCT05881746,Anatomical Resection VS. Nonanatomical Resection for Colorectal Liver Metastases With Gene Mutation or Right-sidedness,"

1. Age ≥ 18 and ≤ 75 years;
2. Histological proof of colorectal adenocarcinoma;
3. Resectable colorectal liver metastasis without detectable extrahepatic distant metastatic disease (determined by a local MDT);
4. Suitable for anatomical or nonanatomical liver resection (determined by a local MDT);
5. Number of metastasis is 1 to 3;
6. KRAS/NRAS/BRAF mutation or right-sidedness;
7. Performance Status (ECOG) 0\~1;
8. Adequate hematological function: Neutrophils≥1.5 x109/l and platelet count≥100 x109/l; Hb ≥9g/dl (within 1 week prior to randomization);
9. Adequate liver and renal function: total bilirubin ≤2.0 mg/dl, serum transaminases ≤ 5x upper limit of normal(ULN), and serum creatinine ≤ 1.5x ULN and creatinine clearance ≥ 30 ml/min;
10. Written informed consent.

","[""Are you between the ages of 18 and 75 years old?"", ""Do you have a histological diagnosis of colorectal adenocarcinoma?"", ""Is your colorectal liver metastasis resectable without detectable extrahepatic distant metastasis?"", ""Are you a candidate for either anatomical or nonanatomical liver resection?"", ""How many liver metastases do you have?"", ""Do you have a KRAS/NRAS/BRAF mutation or is your colorectal cancer right-sided?"", ""What is your Eastern Cooperative Oncology Group (ECOG) Performance Status?"", ""Do you have adequate hematological function with neutrophils at least 1.5 x 10^9/L and platelet count at least 100 x 10^9/L, and Hb at least 9g/dl?"", ""Please fill in your total bilirubin level (in mg/dl):"", ""Please fill in your serum transaminases level (in x upper limit of normal):"", ""Please fill in your serum creatinine level (in mg/dl):"", ""Is your creatinine clearance at least 30 ml/min?"", ""Have you provided a written informed consent?""]"
NCT04668703,Prophylactic Effect of Conbercept Intravitreal Injection at the Conclusion of Cataract Surgery for Diabetic Macular Edema,"

* Patients sign informed consent, and are willing and able to comply with all the follow-ups
* Age ≥ 18 years , both genders
* Diagnosis of type 1 or type 2 diabetes mellitus
* Serum HbA1c ≤ 10%
* Patients with a diagnosis of DR (ETDRS 35-53) and cataract

","以下是根据您提供的入组标准生成的问题，以JSON格式表示：

```json
[
  {
    ""question"": ""Have you signed the informed consent form and are you willing and able to comply with all follow-up requirements?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  },
  {
    ""question"": ""Are you 18 years of age or older?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  },
  {
    ""question"": ""Please specify your gender:"",
    ""type"": 1,
    ""option"": []
  },
  {
    ""question"": ""Do you have a diagnosis of type 1 or type 2 diabetes mellitus?"",
    ""type"": 2,
    ""option"": [""Type 1"", ""Type 2"", ""No""]
  },
  {
    ""question"": ""What is your current serum HbA1c level? (Please enter a percentage value.)"",
    ""type"": 1,
    ""option"": []
  },
  {
    ""question"": ""Have you been diagnosed with diabetic retinopathy (ETDRS 35-53) and cataract?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  }
]
```

这些问题包括了判断题和填空题，以便对患者是否符合入组标准进行评估。"
NCT06202404,Predicting Tumor Metastasis by Employing a Target Organ/Primary Lesion Fusion Radiomics Model,"

1. ECOG performance status score 0-2;
2. Histologically or cytologically confirmed stage III-IV NSCLC;
3. If the baseline pathology is adenocarcinoma, driver gene testing (at least EGFR/ALK/ROS1/KRAS/MET) should be performed;
4. Complete imaging data of baseline stage (contrast-enhanced MR For lung cancer, contrast-enhanced MR/CT for colorectal cancer, and chest CT for breast cancer);
5. No target organ metastasis on baseline imaging (no brain/liver/lung metastasis for lung cancer/colorectal cancer/breast cancer, respectively);
6. Patients received at least one systemic therapy (chemotherapy, targeted therapy, immunotherapy, etc.) and received regular follow-up;
7. Regular follow-up during and after treatment;
8. Life expectancy ≥6 months;

","[""What is your ECOG performance status score?"", ""Is your NSCLC histologically or cytologically confirmed to be stage III-IV?"", ""If your baseline pathology is adenocarcinoma, have you undergone driver gene testing (including at least EGFR/ALK/ROS1/KRAS/MET)?"", ""Do you have complete imaging data of your baseline stage (contrast-enhanced MR for lung cancer, contrast-enhanced MR/CT for colorectal cancer, chest CT for breast cancer)?"", ""Are there any target organ metastases on your baseline imaging (e.g., no brain/liver/lung metastasis for lung cancer/colorectal cancer/breast cancer, respectively)?"", ""Have you received at least one systemic therapy (chemotherapy, targeted therapy, immunotherapy, etc.)?"", ""Did you receive regular follow-up during and after treatment?"", ""What is your estimated life expectancy?""]"
NCT05897268,Cryoablation Combined With Tislelizumab Plus Lenvatinib in 1L Treatment of Advanced HCC (CASTLE-10),"

* Written informed consent obtained.
* Age ≥ 18 years at time of study entry.
* Hepatocellular carcinoma confirmed by histology/cytology.
* No systematic anti-tumor treatment has been performed.(End of postoperative adjuvant chemotherapy for more than 6 months allowed).
* Barcelona Clinic Liver Cancer stage C. BCLC stage B, not suitable for radical surgery and/or local treatment.
* At least one measurable site of disease as defined by RECIST v1.1 with spiral CT scan or MRI.
* Child-Pugh: \<=7
* Performance status (PS) ≤ 2 (ECOG scale).
* Life expectancy of at least 12 weeks.
* Adequate blood count, liver-enzymes, and renal function: absolute neutrophil count ≥ 1,500/L, platelets ≥75 x103/L; Total bilirubin ≤ 3x upper normal limit; Aspartate Aminotransferase (SGOT), Alanine aminotransferase (SGPT) ≤ 5 x upper normal limit (ULN); International normalized ratio (INR) ≤1.25; Albumin ≥ 31 g/dL; Serum Creatinine ≤ 1.5 x institutional ULN or creatinine clearance (CrCl) ≥ 30 mL/min (if using the Cockcroft-Gault formula )
* Female patients with reproductive potential must have a negative urine or serum pregnancy test within 7 days prior to start of trial.
* Subject is willing and able to comply with the protocol for the duration of the study including undergoing treatment, adherence to contraceptive measures, scheduled visits and examinations including follow up.

","[""Have you provided written informed consent for this study?"", ""What is your age at the time of study entry?"", ""Has hepatocellular carcinoma been confirmed by histology/cytology?"", ""Have you received any systematic anti-tumor treatment in the past? If so, please specify."", ""Are you classified as Barcelona Clinic Liver Cancer stage C or BCLC stage B, not suitable for radical surgery and/or local treatment?"", ""Do you have at least one measurable site of disease as defined by RECIST v1.1?"", ""What is your Child-Pugh score?"", ""What is your Performance Status (PS) according to the ECOG scale?"", ""Is your life expectancy at least 12 weeks?"", ""Do you have adequate blood count, liver enzymes, and renal function? Please provide details."", ""If you are a female with reproductive potential, have you had a negative urine or serum pregnancy test within 7 days prior to starting the trial?"", ""Are you willing and able to comply with the protocol, including treatment, contraceptive measures, and scheduled visits and examinations?""]"
