nct_id,study_title,inclusion_criteria,inclusion_criteria_questions
NCT04980599,Effect of a Probiotic Strain Lactobacillus Paracasei K56 on Metabolic Symptom - a Pilot Study,"

* BMI\>=30kg/m2,or percent of body fat(PBF) \>=25% for male, \>=30 for female.
* Age: 18 - 60 years old adults

","[""Is your BMI equal to or greater than 30 kg/m2, or is your percentage of body fat (PBF) equal to or greater than 25% for males and 30% for females?"", ""Are you between the ages of 18 and 60 years old?"", ""Do you have a BMI value?"", ""What is your gender?""]"
NCT06061692,"Tongxinluo Capsule in the Treatment of Cerebral Small Vessel Disease-A Randomized, Double-blind, Placebo-controlled, Multicenter Clinical Study（TOPS-CSVD）","

1. Age 50-80 years (both inclusive);
2. Complaints of cognitive impairment involving memory and/or other cognitive domains for at least 3 months;
3. Neither normal nor demented cognitive level according to DSM-V criteria, MMSE scale score ≥20 (elementary school) or ≥24 (junior high school and above); CDR scale score ≥0.5 in at least one domain and overall CDR score ≤1;
4. MRI has: ① moderate to severe white matter lesions (deep Fazekas score \> 1 or paraventricular Fazekas score \> 2); Mild white matter hyperintensity (deep Fazekas score = 1 or paraventricular Fazekas score = 2) combined with more than 1 lacunar infarction or more than 3 microbleeds foci. ② Absence of old cortical or watershed infarction, cerebral hemorrhage, hydrocephalus, and other cerebral white matter lesions of definite etiology (e.g., multiple sclerosis, metabolic, toxic, etc.);
5. Voluntary participation in the study and willing to sign the Informed Consent Form.

","[""Are you within the age range of 50 to 80 years old?"", ""Have you been experiencing cognitive impairment, including memory or other cognitive domains, for at least 3 months?"", ""According to the DSM-V criteria and the MMSE scale, do you score __ (fill in the blank with your score)? Please note, for those with an elementary school education, the score should be \u226520, and for junior high school education and above, it should be \u226524."", ""Based on the CDR scale, is your score in at least one domain \u22650.5 and the overall score \u22641?"", ""Does your MRI show moderate to severe white matter lesions or the specified combination of mild white matter hyperintensity with lacunar infarction or microbleeds?"", ""Has your MRI ruled out old cortical or watershed infarction, cerebral hemorrhage, hydrocephalus, and other cerebral white matter lesions of definite etiology, such as multiple sclerosis, metabolic, or toxic causes?"", ""Are you willing to participate voluntarily in the study and sign the Informed Consent Form?""]"
NCT05111444,Camrelizumab Plus Pyrotinib Plus Chemotherapy in Human Epidermal Growth Factor Receptor 2 Positive (HER2+) Advanced Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma,"

1. Age 18 years or older.
2. Histologically or cytologically confirmed diagnosis of locally advanced unresectable or metastatic HER2 positive gastric or GEJ adenocarcinoma.
3. Patients have not received systemic treatment in the past but had disease progression more than 6 months after receiving neoadjuvant therapy or the last of adjuvant therapy could be enrolled or failure of first-line therapy or completion of (new) adjuvant therapy to disease recurrence less than 6 months.
4. HER2-positive defined as either immunohistochemistry (IHC) 3+ or IHC 2+ in combination with fluorescent in-situ hybridization (FISH+ is defined as HER2:CEP17 ratio≥2.0), as assessed by central review on primary or metastatic tumor.
5. ECOG performance status 0-1.
6. At least one measurable lesion exists as defined by RECIST 1.1 .
7. Life expectancy of more than 12 weeks.

","[""Are you 18 years of age or older?"", ""Has your gastric or GEJ adenocarcinoma been histologically or cytologically confirmed as locally advanced unresectable or metastatic and HER2 positive?"", ""Have you not received systemic treatment in the past, or have you experienced disease progression more than 6 months after neoadjuvant therapy or adjuvant therapy, or failure of first-line therapy, or completion of (new) adjuvant therapy with disease recurrence less than 6 months?"", ""Is your HER2 status positive, defined as IHC 3+ or IHC 2+ with FISH+ (HER2:CEP17 ratio\u22652.0)?"", ""What is your ECOG performance status (0-1)?"", ""Do you have at least one measurable lesion as defined by RECIST 1.1?"", ""Do you have a life expectancy of more than 12 weeks?""]"
NCT04677192,Microwave Ablation Combined With Chemotherapy in the Treatment of Pancreatic Cancer Oligohepatic Metastasis,"

* Age: 18 to 75years old, male or female;
* ECOG PS: 0-2 points;
* Patients with pancreatic ductal adenocarcinoma diagnosed by histology or cytology;
* Expected survival time\> 3 months;
* The functions of important organs meet the following requirements;
* The maximum diameter of single lesion ≤ 5cm or the number of multiple lesions ≤ 5 and the maximum diameter ≤ 3cm;
* Measurable lesions that meet RECIST criteria.

  1. Platelet ≥75×109/L, hemoglobin ≥85g/L，white blood cell ≥ 3.0 × 109 / L;
  2. Total bilirubin ≤ 1.5 times upper limit of normal value (ULN) ; ALT and AST ≤ 5 times ULN ;
  3. Albumin ≥ 28g / L;
  4. Creatinine ≤ 1.5 times ULN, or creatinine clearance rate ≥ 50ml / min;
* Women of childbearing age must undergo a negative pregnancy test (βHCG) before starting treatment. Women and men of childbearing age (sexual relationships with women of childbearing age) must agree to use them effectively during treatment and 3 months after the last dose of treatment Contraceptive measures;
* Signature of patient information and informed consent.
* Patients who did not participate in other clinical trials within 4 weeks before screening; those who failed in other trials but met the requirements of this trial could be enrolled.

","[""Are you between 18 to 75 years old, male or female?"", ""What is your Eastern Cooperative Oncology Group Performance Status (ECOG PS) score?"", ""Have you been diagnosed with pancreatic ductal adenocarcinoma by histology or cytology?"", ""Do you expect to survive for more than 3 months?"", ""Does your platelet count meet or exceed 75\u00d710^9/L?"", ""Is your hemoglobin level 85g/L or higher?"", ""Is your white blood cell count 3.0\u00d710^9/L or higher?"", ""Is your total bilirubin level less than or equal to 1.5 times the upper limit of normal (ULN)?"", ""Are your ALT and AST levels less than or equal to 5 times the ULN?"", ""Is your albumin level at least 28g/L?"", ""Is your creatinine level less than or equal to 1.5 times the ULN, or is your creatinine clearance rate 50ml/min or higher?"", ""For women of childbearing age, have you undergone a negative pregnancy test (\u03b2HCG) before starting treatment?"", ""Are you willing to use effective contraceptive measures during treatment and for 3 months after the last dose, if you are of childbearing age or in a relationship with someone of childbearing age?"", ""Have you signed the patient information and informed consent form?"", ""Have you participated in any other clinical trials within the past 4 weeks before screening?""]"
NCT05577689,Novel Therapy Target in Metastatic Prostate Cancer,"

1. Histologically confirmed prostate cancer
2. metastatic disease confirmed by image examination
3. Patients who can undergo surgery or biopsy for prostate cancer
4. Able to provide informed consent

","[""Has your prostate cancer been confirmed by a histological examination?"", ""Has the presence of metastatic disease been confirmed by image examination?"", ""Are you able to undergo surgery or biopsy for your prostate cancer?"", ""Are you capable of providing informed consent for the study?""]"
NCT05848310,Preoperative Serum FGF19 in the Prognosis of Biliary Atresia,"

* Samples diagnosed as biliary atresia in Children's Hospital of Fudan University
* Samples with one-year follow-up records after surgery
* Samples with a record of serum total bilirubin levels three months after surgery
* Samples with preoperative serum left（volume \> 500ul)

","[""Were you diagnosed with biliary atresia at Children's Hospital of Fudan University?"", ""Do you have one-year follow-up records after your surgery?"", ""What was your serum total bilirubin level three months after your surgery?"", ""Do you have a record of preoperative serum left (volume > 500ul)?""]"
NCT06218810,"Cadonilimab in Combination With Bevacizumab and FOLFOX Regimen for the First-Line Treatment of Advanced Unresectable MSS-Type, RAS-Mutated Metastatic Colorectal Cancer","

1. Voluntarily sign a written ICF.
2. Age at enrollment: ≥ 18 years old, ≤ 75 years old, both male and female.
3. The Eastern Cancer Collaborative Organization (ECOG) has a physical fitness score of 0 or 1.
4. The expected survival period is ≥ 3 months.
5. Subjects diagnosed with metastatic colorectal adenocarcinoma by histology or cytology.
6. Colorectal cancer patients who have not received systematic anti-tumor therapy in the past and are not suitable for radical surgical resection or local treatment.
7. Genetic testing results indicate pMMR or MSS; RAS mutation;
8. According to RECIST v1.1, there is at least one measurable lesion that is suitable for repeated and accurate measurements. Note: Brain metastases cannot be used as target lesions; For lesions that have received radiation therapy before, it is not recommended to select them as target lesions. If there are no other lesions that meet the target lesion criteria, and the lesion can be measured according to RECIST v1.1 and there is objective evidence to prove significant progression after radiation therapy, the irradiated lesion can be considered as a target lesion.

","[""Have you voluntarily signed a written Informed Consent Form (ICF)?"", ""How old are you?"", ""According to the Eastern Cancer Collaborative Organization (ECOG), what is your physical fitness score?"", ""Do you expect to survive for a period of at least 3 months?"", ""Have you been diagnosed with metastatic colorectal adenocarcinoma, confirmed by histology or cytology?"", ""Have you received systematic anti-tumor therapy in the past, or are you suitable for radical surgical resection or local treatment?"", ""What do your genetic testing results indicate? Do they show pMMR or MSS; RAS mutation?"", ""Do you have at least one measurable lesion according to RECIST v1.1 that can be used for repeated and accurate measurements?""]"
NCT05881746,Anatomical Resection VS. Nonanatomical Resection for Colorectal Liver Metastases With Gene Mutation or Right-sidedness,"

1. Age ≥ 18 and ≤ 75 years;
2. Histological proof of colorectal adenocarcinoma;
3. Resectable colorectal liver metastasis without detectable extrahepatic distant metastatic disease (determined by a local MDT);
4. Suitable for anatomical or nonanatomical liver resection (determined by a local MDT);
5. Number of metastasis is 1 to 3;
6. KRAS/NRAS/BRAF mutation or right-sidedness;
7. Performance Status (ECOG) 0\~1;
8. Adequate hematological function: Neutrophils≥1.5 x109/l and platelet count≥100 x109/l; Hb ≥9g/dl (within 1 week prior to randomization);
9. Adequate liver and renal function: total bilirubin ≤2.0 mg/dl, serum transaminases ≤ 5x upper limit of normal(ULN), and serum creatinine ≤ 1.5x ULN and creatinine clearance ≥ 30 ml/min;
10. Written informed consent.

","[""How old are you?"", ""Do you have histological proof of colorectal adenocarcinoma?"", ""Have you been diagnosed with resectable colorectal liver metastasis and no detectable extrahepatic distant metastatic disease?"", ""Are you suitable for anatomical or nonanatomical liver resection?"", ""How many liver metastases do you have? (Please enter a number between 1 and 3)"", ""Do you have a KRAS/NRAS/BRAF mutation or right-sided colorectal cancer?"", ""What is your Eastern Cooperative Oncology Group (ECOG) Performance Status? (Enter 0 or 1)"", ""Is your neutrophil count greater than or equal to 1.5 x 10^9/l and platelet count greater than or equal to 100 x 10^9/l?"", ""Is your hemoglobin level greater than or equal to 9g/dl within 1 week prior to randomization?"", ""Are your liver and renal functions adequate? (Total bilirubin \u2264 2.0 mg/dl, serum transaminases \u2264 5x upper limit of normal, serum creatinine \u2264 1.5x upper limit of normal, and creatinine clearance \u2265 30 ml/min)"", ""Have you provided written informed consent to participate in the study?""]"
NCT04668703,Prophylactic Effect of Conbercept Intravitreal Injection at the Conclusion of Cataract Surgery for Diabetic Macular Edema,"

* Patients sign informed consent, and are willing and able to comply with all the follow-ups
* Age ≥ 18 years , both genders
* Diagnosis of type 1 or type 2 diabetes mellitus
* Serum HbA1c ≤ 10%
* Patients with a diagnosis of DR (ETDRS 35-53) and cataract

","[""Have you signed the informed consent and are you willing and able to comply with all the follow-up requirements?"", ""How old are you?"", ""What type of diabetes mellitus have you been diagnosed with, type 1 or type 2?"", ""What is your current serum HbA1c percentage?"", ""Have you been diagnosed with diabetic retinopathy (ETDRS stages 35-53) and cataract?""]"
NCT06202404,Predicting Tumor Metastasis by Employing a Target Organ/Primary Lesion Fusion Radiomics Model,"

1. ECOG performance status score 0-2;
2. Histologically or cytologically confirmed stage III-IV NSCLC;
3. If the baseline pathology is adenocarcinoma, driver gene testing (at least EGFR/ALK/ROS1/KRAS/MET) should be performed;
4. Complete imaging data of baseline stage (contrast-enhanced MR For lung cancer, contrast-enhanced MR/CT for colorectal cancer, and chest CT for breast cancer);
5. No target organ metastasis on baseline imaging (no brain/liver/lung metastasis for lung cancer/colorectal cancer/breast cancer, respectively);
6. Patients received at least one systemic therapy (chemotherapy, targeted therapy, immunotherapy, etc.) and received regular follow-up;
7. Regular follow-up during and after treatment;
8. Life expectancy ≥6 months;

","[""What is your ECOG performance status score?"", ""Has your lung cancer been histologically or cytologically confirmed as stage III-IV NSCLC?"", ""If your baseline pathology is adenocarcinoma, have you undergone driver gene testing for EGFR/ALK/ROS1/KRAS/MET?"", ""Do you have complete imaging data of your baseline stage, such as contrast-enhanced MR/CT for your type of cancer?"", ""Have you got any target organ metastasis on your baseline imaging (brain/liver/lung metastasis for lung/colorectal/breast cancer respectively)?"", ""Have you received at least one systemic therapy (chemotherapy, targeted therapy, immunotherapy, etc.)?"", ""Do you receive regular follow-up during and after your treatment?"", ""Do you have a life expectancy of at least 6 months?""]"
