nct_id,study_title,inclusion_criteria,inclusion_criteria_questions
NCT04980599,Effect of a Probiotic Strain Lactobacillus Paracasei K56 on Metabolic Symptom - a Pilot Study,"

* BMI\>=30kg/m2,or percent of body fat(PBF) \>=25% for male, \>=30 for female.
* Age: 18 - 60 years old adults

","[""Is your BMI equal to or greater than 30 kg/m2, or is your percentage of body fat (PBF) equal to or greater than 25% for males and 30% for females?"", ""Are you between the ages of 18 and 60 years old?"", ""Do you have a BMI value?"", ""What is your gender?""]"
NCT06061692,"Tongxinluo Capsule in the Treatment of Cerebral Small Vessel Disease-A Randomized, Double-blind, Placebo-controlled, Multicenter Clinical Study（TOPS-CSVD）","

1. Age 50-80 years (both inclusive);
2. Complaints of cognitive impairment involving memory and/or other cognitive domains for at least 3 months;
3. Neither normal nor demented cognitive level according to DSM-V criteria, MMSE scale score ≥20 (elementary school) or ≥24 (junior high school and above); CDR scale score ≥0.5 in at least one domain and overall CDR score ≤1;
4. MRI has: ① moderate to severe white matter lesions (deep Fazekas score \> 1 or paraventricular Fazekas score \> 2); Mild white matter hyperintensity (deep Fazekas score = 1 or paraventricular Fazekas score = 2) combined with more than 1 lacunar infarction or more than 3 microbleeds foci. ② Absence of old cortical or watershed infarction, cerebral hemorrhage, hydrocephalus, and other cerebral white matter lesions of definite etiology (e.g., multiple sclerosis, metabolic, toxic, etc.);
5. Voluntary participation in the study and willing to sign the Informed Consent Form.

","[""Are you within the age range of 50 to 80 years?"", ""Have you experienced cognitive impairment involving memory and/or other cognitive domains for at least 3 months?"", ""Does your cognitive level fall neither within normal nor demented range as per DSM-V criteria, with an MMSE scale score of at least 20 (for elementary school) or 24 (for junior high school and above)?"", ""Is your Clinical Dementia Rating (CDR) score at least 0.5 in any domain and no higher than 1 overall?"", ""Do you have moderate to severe white matter lesions on MRI, specifically deep Fazekas score greater than 1 or paraventricular Fazekas score greater than 2?"", ""Are there more than 1 lacunar infarction or more than 3 microbleeds foci combined with mild white matter hyperintensity on MRI?"", ""Is your MRI free from old cortical or watershed infarction, cerebral hemorrhage, hydrocephalus, and other cerebral white matter lesions of definite etiology?"", ""Are you voluntarily participating in this study and willing to sign the Informed Consent Form?""]"
NCT05111444,Camrelizumab Plus Pyrotinib Plus Chemotherapy in Human Epidermal Growth Factor Receptor 2 Positive (HER2+) Advanced Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma,"

1. Age 18 years or older.
2. Histologically or cytologically confirmed diagnosis of locally advanced unresectable or metastatic HER2 positive gastric or GEJ adenocarcinoma.
3. Patients have not received systemic treatment in the past but had disease progression more than 6 months after receiving neoadjuvant therapy or the last of adjuvant therapy could be enrolled or failure of first-line therapy or completion of (new) adjuvant therapy to disease recurrence less than 6 months.
4. HER2-positive defined as either immunohistochemistry (IHC) 3+ or IHC 2+ in combination with fluorescent in-situ hybridization (FISH+ is defined as HER2:CEP17 ratio≥2.0), as assessed by central review on primary or metastatic tumor.
5. ECOG performance status 0-1.
6. At least one measurable lesion exists as defined by RECIST 1.1 .
7. Life expectancy of more than 12 weeks.

","[""Are you 18 years or older?"", ""Have you been histologically or cytologically diagnosed with locally advanced unresectable or metastatic HER2 positive gastric or GEJ adenocarcinoma?"", ""Has your disease progressed more than 6 months after receiving neoadjuvant therapy or the last of adjuvant therapy?"", ""Is your HER2 status either IHC 3+ or IHC 2+ in combination with FISH, with a HER2:CEP17 ratio of \u22652.0, as assessed by central review on primary or metastatic tumor?"", ""Do you have an ECOG performance status of 0-1?"", ""Does your medical history include at least one measurable lesion as defined by RECIST 1.1?"", ""Is your life expectancy greater than 12 weeks?""]"
NCT04677192,Microwave Ablation Combined With Chemotherapy in the Treatment of Pancreatic Cancer Oligohepatic Metastasis,"

* Age: 18 to 75years old, male or female;
* ECOG PS: 0-2 points;
* Patients with pancreatic ductal adenocarcinoma diagnosed by histology or cytology;
* Expected survival time\> 3 months;
* The functions of important organs meet the following requirements;
* The maximum diameter of single lesion ≤ 5cm or the number of multiple lesions ≤ 5 and the maximum diameter ≤ 3cm;
* Measurable lesions that meet RECIST criteria.

  1. Platelet ≥75×109/L, hemoglobin ≥85g/L，white blood cell ≥ 3.0 × 109 / L;
  2. Total bilirubin ≤ 1.5 times upper limit of normal value (ULN) ; ALT and AST ≤ 5 times ULN ;
  3. Albumin ≥ 28g / L;
  4. Creatinine ≤ 1.5 times ULN, or creatinine clearance rate ≥ 50ml / min;
* Women of childbearing age must undergo a negative pregnancy test (βHCG) before starting treatment. Women and men of childbearing age (sexual relationships with women of childbearing age) must agree to use them effectively during treatment and 3 months after the last dose of treatment Contraceptive measures;
* Signature of patient information and informed consent.
* Patients who did not participate in other clinical trials within 4 weeks before screening; those who failed in other trials but met the requirements of this trial could be enrolled.

","[""What is your age range for participation in this study?"", ""Do you have an ECOG performance status of 0 to 2 points?"", ""Are you diagnosed with pancreatic ductal adenocarcinoma through histology or cytology?"", ""Can you expect survival beyond 3 months?"", ""Do your vital organ functions meet all specified requirements?"", ""Is the maximum size of any single lesion less than or equal to 5 cm, or is the total number of lesions less than or equal to 5 with each having a maximum diameter less than or equal to 3 cm?"", ""Do you have a platelet count of at least 75\u00d710^9/L, hemoglobin level of at least 85g/L, and white blood cell count of at least 3.0\u00d710^9/L?"", ""Is your total bilirubin level within 1.5 times the upper limit of normal value, and your ALT and AST levels within 5 times the upper limit of normal value?"", ""Is your albumin level greater than or equal to 28g/L?"", ""Is your creatinine level less than or equal to 1.5 times the upper limit of normal value, or does your creatinine clearance rate exceed 50ml/min?"", ""Have you undergone a negative pregnancy test (\u03b2HCG) if of childbearing age?"", ""Do you agree to use effective contraceptive measures if sexually active and of childbearing age?"", ""Have you participated in another clinical trial within 4 weeks prior to screening?"", ""If you have failed in previous trials, do you meet the enrollment criteria for this current trial?"", ""Have you signed the patient information and informed consent document?""]"
NCT05577689,Novel Therapy Target in Metastatic Prostate Cancer,"

1. Histologically confirmed prostate cancer
2. metastatic disease confirmed by image examination
3. Patients who can undergo surgery or biopsy for prostate cancer
4. Able to provide informed consent

","[""Have you been histologically confirmed for prostate cancer?"", ""Is your metastatic disease confirmed through an image examination?"", ""Are you capable of undergoing surgery or biopsy for prostate cancer treatment?"", ""Can you provide informed consent for participation in this study?"", ""Please specify your age."", ""Do you have acute leukemia?"", ""Have you been diagnosed with myelodysplastic syndrome?"", ""Have you been diagnosed with myeloproliferative neoplasm?""]"
NCT05848310,Preoperative Serum FGF19 in the Prognosis of Biliary Atresia,"

* Samples diagnosed as biliary atresia in Children's Hospital of Fudan University
* Samples with one-year follow-up records after surgery
* Samples with a record of serum total bilirubin levels three months after surgery
* Samples with preoperative serum left（volume \> 500ul)

","[""Which hospital diagnosed you with biliary atresia?"", ""Can you provide records of your one-year follow-up after surgery?"", ""Do you have a record of your serum total bilirubin levels three months after surgery?"", ""Was the volume of your preoperative serum more than 500ul?""]"
NCT06218810,"Cadonilimab in Combination With Bevacizumab and FOLFOX Regimen for the First-Line Treatment of Advanced Unresectable MSS-Type, RAS-Mutated Metastatic Colorectal Cancer","

1. Voluntarily sign a written ICF.
2. Age at enrollment: ≥ 18 years old, ≤ 75 years old, both male and female.
3. The Eastern Cancer Collaborative Organization (ECOG) has a physical fitness score of 0 or 1.
4. The expected survival period is ≥ 3 months.
5. Subjects diagnosed with metastatic colorectal adenocarcinoma by histology or cytology.
6. Colorectal cancer patients who have not received systematic anti-tumor therapy in the past and are not suitable for radical surgical resection or local treatment.
7. Genetic testing results indicate pMMR or MSS; RAS mutation;
8. According to RECIST v1.1, there is at least one measurable lesion that is suitable for repeated and accurate measurements. Note: Brain metastases cannot be used as target lesions; For lesions that have received radiation therapy before, it is not recommended to select them as target lesions. If there are no other lesions that meet the target lesion criteria, and the lesion can be measured according to RECIST v1.1 and there is objective evidence to prove significant progression after radiation therapy, the irradiated lesion can be considered as a target lesion.

","[""Have you voluntarily signed a written informed consent form (ICF)?"", ""Are you aged between 18 and 75 years old, inclusive?"", ""Do you have an Eastern Cooperative Oncology Group (ECOG) performance status score of 0 or 1?"", ""Is your expected survival period estimated to be at least 3 months?"", ""Are you diagnosed with metastatic colorectal adenocarcinoma by histology or cytology?"", ""Have you not received systemic anticancer therapy previously and are not eligible for radical surgery or local treatment?"", ""Are your genetic test results indicating pMMR or MSS; RAS mutation?"", ""Do you have at least one measurable lesion that meets the criteria for repeated and accurate measurement according to RECIST v1.1? (Note: Brain metastases cannot be used as target lesions; Lesions that have received radiation therapy before are not recommended to be selected as target lesions. If there are no other lesions that meet the target lesion criteria, and the lesion can be measured according to RECIST v1.1 and there is objective evidence to prove significant progression after radiation therapy, the irradiated lesion can be considered as a target lesion.)""]"
NCT05881746,Anatomical Resection VS. Nonanatomical Resection for Colorectal Liver Metastases With Gene Mutation or Right-sidedness,"

1. Age ≥ 18 and ≤ 75 years;
2. Histological proof of colorectal adenocarcinoma;
3. Resectable colorectal liver metastasis without detectable extrahepatic distant metastatic disease (determined by a local MDT);
4. Suitable for anatomical or nonanatomical liver resection (determined by a local MDT);
5. Number of metastasis is 1 to 3;
6. KRAS/NRAS/BRAF mutation or right-sidedness;
7. Performance Status (ECOG) 0\~1;
8. Adequate hematological function: Neutrophils≥1.5 x109/l and platelet count≥100 x109/l; Hb ≥9g/dl (within 1 week prior to randomization);
9. Adequate liver and renal function: total bilirubin ≤2.0 mg/dl, serum transaminases ≤ 5x upper limit of normal(ULN), and serum creatinine ≤ 1.5x ULN and creatinine clearance ≥ 30 ml/min;
10. Written informed consent.

","[""Are you aged between 18 and 75 years old?"", ""Have you been histologically proven to have colorectal adenocarcinoma?"", ""Are your colorectal liver metastases resectable and without detectable extrahepatic distant metastatic disease?"", ""Is your condition suitable for either anatomical or non-anatomical liver resection?"", ""How many liver metastases do you have? Are they numbered from 1 to 3?"", ""Do you have KRAS/NRAS/BRAF mutation or a right-sided tumor?"", ""Is your ECOG performance status within 0 to 1?"", ""Do you have adequate hematological functions with neutrophils \u22651.5 x109/l and platelet count \u2265100 x109/l, and hemoglobin \u22659g/dl within 1 week before randomization?"", ""Do you have adequate liver and renal functions with total bilirubin \u22642.0 mg/dl, serum transaminases \u22645x upper limit of normal (ULN), and serum creatinine \u22641.5x ULN and creatinine clearance \u226530 ml/min?"", ""Have you provided written informed consent?""]"
NCT04668703,Prophylactic Effect of Conbercept Intravitreal Injection at the Conclusion of Cataract Surgery for Diabetic Macular Edema,"

* Patients sign informed consent, and are willing and able to comply with all the follow-ups
* Age ≥ 18 years , both genders
* Diagnosis of type 1 or type 2 diabetes mellitus
* Serum HbA1c ≤ 10%
* Patients with a diagnosis of DR (ETDRS 35-53) and cataract

","[""Have you signed the informed consent and are willing to comply with all follow-ups?"", ""What is your gender?"", ""Are you aged 18 years or older?"", ""Are you diagnosed with type 1 or type 2 diabetes mellitus?"", ""Is your serum HbA1c level less than or equal to 10%?"", ""Are you diagnosed with Diabetic Retinopathy (ETDRS 35-53) and Cataract?""]"
NCT06202404,Predicting Tumor Metastasis by Employing a Target Organ/Primary Lesion Fusion Radiomics Model,"

1. ECOG performance status score 0-2;
2. Histologically or cytologically confirmed stage III-IV NSCLC;
3. If the baseline pathology is adenocarcinoma, driver gene testing (at least EGFR/ALK/ROS1/KRAS/MET) should be performed;
4. Complete imaging data of baseline stage (contrast-enhanced MR For lung cancer, contrast-enhanced MR/CT for colorectal cancer, and chest CT for breast cancer);
5. No target organ metastasis on baseline imaging (no brain/liver/lung metastasis for lung cancer/colorectal cancer/breast cancer, respectively);
6. Patients received at least one systemic therapy (chemotherapy, targeted therapy, immunotherapy, etc.) and received regular follow-up;
7. Regular follow-up during and after treatment;
8. Life expectancy ≥6 months;

","[""What is your ECOG performance status score?"", ""Has your NSCLC been histologically or cytologically confirmed?"", ""Have you undergone driver gene testing if your baseline pathology is adenocarcinoma?"", ""Can you provide complete imaging data of your baseline stage?"", ""Is there any target organ metastasis on your baseline imaging?"", ""Have you received at least one systemic therapy before this treatment?"", ""Do you have regular follow-ups during and after treatment?"", ""What is your estimated life expectancy?""]"
