nct_id,study_title,inclusion_criteria,inclusion_criteria_questions
NCT04980599,Effect of a Probiotic Strain Lactobacillus Paracasei K56 on Metabolic Symptom - a Pilot Study,"

* BMI\>=30kg/m2,or percent of body fat(PBF) \>=25% for male, \>=30 for female.
* Age: 18 - 60 years old adults

","[""Your BMI is ____. Please fill in the blank."", ""Is your body fat percentage greater than or equal to 30% for females? (Yes/No)"", ""Your age falls within the range of 18 to 60 years old. Please confirm. (Yes/No)"", ""Is your body fat percentage greater than or equal to 25% for males? (Yes/No)"", ""Please provide your body fat percentage. ___"", ""Please provide your BMI. ___"", ""Are you between the ages of 18 and 60? (Yes/No)""]"
NCT06061692,"Tongxinluo Capsule in the Treatment of Cerebral Small Vessel Disease-A Randomized, Double-blind, Placebo-controlled, Multicenter Clinical Study（TOPS-CSVD）","

1. Age 50-80 years (both inclusive);
2. Complaints of cognitive impairment involving memory and/or other cognitive domains for at least 3 months;
3. Neither normal nor demented cognitive level according to DSM-V criteria, MMSE scale score ≥20 (elementary school) or ≥24 (junior high school and above); CDR scale score ≥0.5 in at least one domain and overall CDR score ≤1;
4. MRI has: ① moderate to severe white matter lesions (deep Fazekas score \> 1 or paraventricular Fazekas score \> 2); Mild white matter hyperintensity (deep Fazekas score = 1 or paraventricular Fazekas score = 2) combined with more than 1 lacunar infarction or more than 3 microbleeds foci. ② Absence of old cortical or watershed infarction, cerebral hemorrhage, hydrocephalus, and other cerebral white matter lesions of definite etiology (e.g., multiple sclerosis, metabolic, toxic, etc.);
5. Voluntary participation in the study and willing to sign the Informed Consent Form.

","[
  {
    ""question"": ""How old are you?"",
    ""type"": 1,
    ""option"": ["">=50"", ""<80""]
  },
  {
    ""question"": ""Have you experienced complaints of cognitive impairment involving memory and/or other cognitive domains for at least 3 months?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  },
  {
    ""question"": ""What is your educational background?"",
    ""type"": 1,
    ""option"": [""Elementary school"", ""Junior high school and above""]
  },
  {
    ""question"": ""What is your MMSE scale score?"",
    ""type"": 1,
    ""option"": [""<20"", "">=20""]
  },
  {
    ""question"": ""What is your CDR scale score in at least one domain?"",
    ""type"": 1,
    ""option"": [""<0.5"", "">=0.5""]
  },
  {
    ""question"": ""What is your overall CDR score?"",
    ""type"": 1,
    ""option"": [""<1"", "">=1""]
  },
  {
    ""question"": ""Has the MRI found moderate to severe white matter lesions (deep Fazekas score > 1 or paraventricular Fazekas score > 2)?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  },
  {
    ""question"": ""Have you been diagnosed with old cortical or watershed infarction, cerebral hemorrhage, hydrocephalus, or other cerebral white matter lesions of a definite etiology (e.g., multiple sclerosis, metabolic, toxic, etc.)?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  },
  {
    ""question"": ""How many lacunar infarctions have you been diagnosed with?"",
    ""type"": 1,
    ""option"": ["">=1"", ""<3""]
  },
  {
    ""question"": ""How many microbleeds foci have you been diagnosed with?"",
    ""type"": 1,
    ""option"": ["">=3"", ""<=2""]
  },
  {
    ""question"": ""Are you willing to voluntarily participate in the study and sign the Informed Consent Form?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  }
]"
NCT05111444,Camrelizumab Plus Pyrotinib Plus Chemotherapy in Human Epidermal Growth Factor Receptor 2 Positive (HER2+) Advanced Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma,"

1. Age 18 years or older.
2. Histologically or cytologically confirmed diagnosis of locally advanced unresectable or metastatic HER2 positive gastric or GEJ adenocarcinoma.
3. Patients have not received systemic treatment in the past but had disease progression more than 6 months after receiving neoadjuvant therapy or the last of adjuvant therapy could be enrolled or failure of first-line therapy or completion of (new) adjuvant therapy to disease recurrence less than 6 months.
4. HER2-positive defined as either immunohistochemistry (IHC) 3+ or IHC 2+ in combination with fluorescent in-situ hybridization (FISH+ is defined as HER2:CEP17 ratio≥2.0), as assessed by central review on primary or metastatic tumor.
5. ECOG performance status 0-1.
6. At least one measurable lesion exists as defined by RECIST 1.1 .
7. Life expectancy of more than 12 weeks.

","[""Are you 18 years of age or older?"", ""Has your HER2 positive gastric or GEJ adenocarcinoma been histologically or cytologically confirmed?"", ""Have you received any systemic treatment before?"", ""If you have received neoadjuvant therapy, was your disease progression more than 6 months after the treatment?"", ""If you have received adjuvant therapy, was your last treatment more than 6 months ago or less than 6 months after disease recurrence?"", ""Have you failed first-line therapy or completed (new) adjuvant therapy due to disease recurrence less than 6 months ago?"", ""Is your HER2 status positive, defined as either IHC 3+ or IHC 2+ with FISH+ (HER2:CEP17 ratio \u22652.0)?"", ""What is your ECOG performance status?"", ""Do you have at least one measurable lesion as defined by RECIST 1.1?"", ""What is your life expectancy?""]"
NCT04677192,Microwave Ablation Combined With Chemotherapy in the Treatment of Pancreatic Cancer Oligohepatic Metastasis,"

* Age: 18 to 75years old, male or female;
* ECOG PS: 0-2 points;
* Patients with pancreatic ductal adenocarcinoma diagnosed by histology or cytology;
* Expected survival time\> 3 months;
* The functions of important organs meet the following requirements;
* The maximum diameter of single lesion ≤ 5cm or the number of multiple lesions ≤ 5 and the maximum diameter ≤ 3cm;
* Measurable lesions that meet RECIST criteria.

  1. Platelet ≥75×109/L, hemoglobin ≥85g/L，white blood cell ≥ 3.0 × 109 / L;
  2. Total bilirubin ≤ 1.5 times upper limit of normal value (ULN) ; ALT and AST ≤ 5 times ULN ;
  3. Albumin ≥ 28g / L;
  4. Creatinine ≤ 1.5 times ULN, or creatinine clearance rate ≥ 50ml / min;
* Women of childbearing age must undergo a negative pregnancy test (βHCG) before starting treatment. Women and men of childbearing age (sexual relationships with women of childbearing age) must agree to use them effectively during treatment and 3 months after the last dose of treatment Contraceptive measures;
* Signature of patient information and informed consent.
* Patients who did not participate in other clinical trials within 4 weeks before screening; those who failed in other trials but met the requirements of this trial could be enrolled.

","[
  {
    ""question"": ""How old are you?"",
    ""type"": 1,
    ""option"": []
  },
  {
    ""question"": ""What is your ECOG PS score?"",
    ""type"": 1,
    ""option"": []
  },
  {
    ""question"": ""Have you been diagnosed with pancreatic ductal adenocarcinoma by histology or cytology?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  },
  {
    ""question"": ""How many months is your expected survival time?"",
    ""type"": 1,
    ""option"": []
  },
  {
    ""question"": ""Do your platelet count meet the requirement of ≥75×10⁹/L?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  },
  {
    ""question"": ""Does your hemoglobin level meet the requirement of ≥85g/L?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  },
  {
    ""question"": ""Does your white blood cell count meet the requirement of ≥3.0×10⁹/L?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  },
  {
    ""question"": ""Is your total bilirubin level ≤1.5 times the upper limit of normal (ULN)?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  },
  {
    ""question"": ""Are your ALT and AST levels ≤5 times the ULN?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  },
  {
    ""question"": ""Is your albumin level ≥28g/L?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  },
  {
    ""question"": ""Is your creatinine level ≤1.5 times the ULN, or is your creatinine clearance rate ≥50ml/min?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  },
  {
    ""question"": ""Are you a woman of childbearing age?"",
    ""type"": 1,
    ""option"": []
  },
  {
    ""question"": ""Have you undergone a negative pregnancy test (βHCG) before starting treatment?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  },
  {
    ""question"": ""Do you agree to use effective contraceptive measures during treatment and 3 months after the last dose of treatment?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  },
  {
    ""question"": ""Have you signed the patient information and informed consent form?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  },
  {
    ""question"": ""Have you participated in any other clinical trials within 4 weeks before screening?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  },
  {
    ""question"": ""If you have failed in other trials, do you meet the requirements of this trial?"",
    ""type"": 2,
    ""option"": [
      ""Yes"",
      ""No""
    ]
  }
]"
NCT05577689,Novel Therapy Target in Metastatic Prostate Cancer,"

1. Histologically confirmed prostate cancer
2. metastatic disease confirmed by image examination
3. Patients who can undergo surgery or biopsy for prostate cancer
4. Able to provide informed consent

","[
    {
        ""question"": ""Has the patient been histologically confirmed to have prostate cancer?"",
        ""type"": 2
    },
    {
        ""question"": ""Does the patient have metastatic disease, which has been confirmed by image examination?"",
        ""type"": 2
    },
    {
        ""question"": ""Is the patient capable of undergoing surgery or biopsy for prostate cancer?"",
        ""type"": 2
    },
    {
        ""question"": ""Is the patient able to provide informed consent?"",
        ""type"": 2
    },
    {
        ""question"": ""Has the patient been diagnosed with prostate cancer histologically?"",
        ""type"": 1
    },
    {
        ""question"": ""How was the presence of metastatic disease in the patient confirmed?"",
        ""type"": 1
    },
    {
        ""question"": ""Please specify the type of image examination used to confirm the metastatic disease in the patient."",
        ""type"": 1
    },
    {
        ""question"": ""What is the patient's current capability regarding surgery or biopsy for prostate cancer?"",
        ""type"": 1
    },
    {
        ""question"": ""Is the patient capable of giving informed consent for participation in the study?"",
        ""type"": 1
    }
]"
NCT05848310,Preoperative Serum FGF19 in the Prognosis of Biliary Atresia,"

* Samples diagnosed as biliary atresia in Children's Hospital of Fudan University
* Samples with one-year follow-up records after surgery
* Samples with a record of serum total bilirubin levels three months after surgery
* Samples with preoperative serum left（volume \> 500ul)

","[
  {
    ""question"": ""Has your child been diagnosed with biliary atresia at Children's Hospital of Fudan University?"",
    ""type"": 1
  },
  {
    ""question"": ""Does your child have a one-year follow-up record after surgery?"",
    ""type"": 1
  },
  {
    ""question"": ""Does your child have a record of serum total bilirubin levels three months after surgery?"",
    ""type"": 1
  },
  {
    ""question"": ""Was the preoperative serum volume greater than 500ul?"",
    ""type"": 2
  }
]"
NCT06218810,"Cadonilimab in Combination With Bevacizumab and FOLFOX Regimen for the First-Line Treatment of Advanced Unresectable MSS-Type, RAS-Mutated Metastatic Colorectal Cancer","

1. Voluntarily sign a written ICF.
2. Age at enrollment: ≥ 18 years old, ≤ 75 years old, both male and female.
3. The Eastern Cancer Collaborative Organization (ECOG) has a physical fitness score of 0 or 1.
4. The expected survival period is ≥ 3 months.
5. Subjects diagnosed with metastatic colorectal adenocarcinoma by histology or cytology.
6. Colorectal cancer patients who have not received systematic anti-tumor therapy in the past and are not suitable for radical surgical resection or local treatment.
7. Genetic testing results indicate pMMR or MSS; RAS mutation;
8. According to RECIST v1.1, there is at least one measurable lesion that is suitable for repeated and accurate measurements. Note: Brain metastases cannot be used as target lesions; For lesions that have received radiation therapy before, it is not recommended to select them as target lesions. If there are no other lesions that meet the target lesion criteria, and the lesion can be measured according to RECIST v1.1 and there is objective evidence to prove significant progression after radiation therapy, the irradiated lesion can be considered as a target lesion.

","[""1. Have you voluntarily signed a written ICF?"", ""2. What is your age at the time of enrollment?"", ""3. Does the ECOG give you a physical fitness score of 0 or 1?"", ""4. How long is your expected survival period?"", ""5. Have you been diagnosed with metastatic colorectal adenocarcinoma by histology or cytology?"", ""6. Have you received any systematic anti-tumor therapy in the past?"", ""7. Is your tumor suitable for radical surgical resection or local treatment?"", ""8. According to RECIST v1.1, do you have at least one measurable lesion?"", ""9. Have you had radiation therapy for any lesions before?"", ""10. If you have had radiation therapy, is there objective evidence of significant progression after the treatment?"", ""11. Are your lesions, which have received radiation therapy, considered as target lesions according to RECIST v1.1?""]"
NCT05881746,Anatomical Resection VS. Nonanatomical Resection for Colorectal Liver Metastases With Gene Mutation or Right-sidedness,"

1. Age ≥ 18 and ≤ 75 years;
2. Histological proof of colorectal adenocarcinoma;
3. Resectable colorectal liver metastasis without detectable extrahepatic distant metastatic disease (determined by a local MDT);
4. Suitable for anatomical or nonanatomical liver resection (determined by a local MDT);
5. Number of metastasis is 1 to 3;
6. KRAS/NRAS/BRAF mutation or right-sidedness;
7. Performance Status (ECOG) 0\~1;
8. Adequate hematological function: Neutrophils≥1.5 x109/l and platelet count≥100 x109/l; Hb ≥9g/dl (within 1 week prior to randomization);
9. Adequate liver and renal function: total bilirubin ≤2.0 mg/dl, serum transaminases ≤ 5x upper limit of normal(ULN), and serum creatinine ≤ 1.5x ULN and creatinine clearance ≥ 30 ml/min;
10. Written informed consent.

","[""Are you between the ages of 18 and 75?"", ""Has histological proof of colorectal adenocarcinoma been provided?"", ""Does the patient have resectable colorectal liver metastasis without detectable extrahepatic distant metastatic disease?"", ""Is the patient suitable for anatomical or nonanatomical liver resection?"", ""How many colorectal liver metastases does the patient have?"", ""Does the patient have KRAS/NRAS/BRAF mutation or right-sidedness?"", ""What is the patient's Performance Status (ECOG)?"", ""Does the patient have adequate hematological function?"", ""What is the patient's hemoglobin level (within 1 week prior to randomization)?"", ""Does the patient have adequate liver and renal function?"", ""What is the patient's total bilirubin level?"", ""What is the patient's serum transaminase level?"", ""What is the patient's serum creatinine level?"", ""What is the patient's creatinine clearance level?"", ""Has the patient provided written informed consent?""]"
NCT04668703,Prophylactic Effect of Conbercept Intravitreal Injection at the Conclusion of Cataract Surgery for Diabetic Macular Edema,"

* Patients sign informed consent, and are willing and able to comply with all the follow-ups
* Age ≥ 18 years , both genders
* Diagnosis of type 1 or type 2 diabetes mellitus
* Serum HbA1c ≤ 10%
* Patients with a diagnosis of DR (ETDRS 35-53) and cataract

","[
    {
        ""question"": ""Are you willing to sign informed consent and participate in all required follow-ups?"",
        ""type"": 2
    },
    {
        ""question"": ""What is your age?"",
        ""type"": 1
    },
    {
        ""question"": ""Do you have a diagnosis of type 1 or type 2 diabetes mellitus?"",
        ""type"": 2
    },
    {
        ""question"": ""What is your current serum HbA1c level?"",
        ""type"": 1
    },
    {
        ""question"": ""Have you been diagnosed with diabetic retinopathy (DR) with a ETDRS score of 35-53 and also have cataract?"",
        ""type"": 2
    }
]"
NCT06202404,Predicting Tumor Metastasis by Employing a Target Organ/Primary Lesion Fusion Radiomics Model,"

1. ECOG performance status score 0-2;
2. Histologically or cytologically confirmed stage III-IV NSCLC;
3. If the baseline pathology is adenocarcinoma, driver gene testing (at least EGFR/ALK/ROS1/KRAS/MET) should be performed;
4. Complete imaging data of baseline stage (contrast-enhanced MR For lung cancer, contrast-enhanced MR/CT for colorectal cancer, and chest CT for breast cancer);
5. No target organ metastasis on baseline imaging (no brain/liver/lung metastasis for lung cancer/colorectal cancer/breast cancer, respectively);
6. Patients received at least one systemic therapy (chemotherapy, targeted therapy, immunotherapy, etc.) and received regular follow-up;
7. Regular follow-up during and after treatment;
8. Life expectancy ≥6 months;

","```json
[
    {
        ""question"": ""Please rate your overall physical condition using the Eastern Cooperative Oncology Group (ECOG) performance status score. Score 0-2 for normal health to 5 for death due to disease."",
        ""type"": 1,
        ""option"": []
    },
    {
        ""question"": ""Has your histologically or cytologically confirmed non-small cell lung cancer (NSCLC) been staged as stage III-IV?"",
        ""type"": 2,
        ""option"": []
    },
    {
        ""question"": ""Was the baseline pathology of your NSCLC adenocarcinoma?"",
        ""type"": 2,
        ""option"": []
    },
    {
        ""question"": ""Please provide information on the result of driver gene testing for EGFR, ALK, ROS1, KRAS, and MET."",
        ""type"": 1,
        ""option"": []
    },
    {
        ""question"": ""Please describe the type of contrast-enhanced imaging study (MR, CT) used for your baseline staging of lung cancer, colorectal cancer, or breast cancer."",
        ""type"": 1,
        ""option"": []
    },
    {
        ""question"": ""Does your baseline imaging show any target organ metastasis such as brain, liver, or lung metastasis for lung cancer, colorectal cancer, or breast cancer respectively?"",
        ""type"": 2,
        ""option"": []
    },
    {
        ""question"": ""Have you received at least one systemic therapy (chemotherapy, targeted therapy, immunotherapy, etc.) for your cancer and been regularly followed up?"",
        ""type"": 2,
        ""option"": []
    },
    {
        ""question"": ""Are you willing to undergo regular follow-up during and after the treatment?"",
        ""type"": 2,
        ""option"": []
    },
    {
        ""question"": ""What is your estimated life expectancy, considering your current health status?"",
        ""type"": 1,
        ""option"": []
    }
]
```"
