nct_id,study_title,inclusion_criteria,inclusion_criteria_questions
NCT04980599,Effect of a Probiotic Strain Lactobacillus Paracasei K56 on Metabolic Symptom - a Pilot Study,"

* BMI\>=30kg/m2,or percent of body fat(PBF) \>=25% for male, \>=30 for female.
* Age: 18 - 60 years old adults

","[""What is your BMI? (Enter the value, e.g., '25')"", ""Is your body fat percentage >=30% for females? (Yes/No)"", ""Is your body fat percentage >=25% for males? (Yes/No)"", ""What is your age? (Enter the age, e.g., '30')""]"
NCT06061692,"Tongxinluo Capsule in the Treatment of Cerebral Small Vessel Disease-A Randomized, Double-blind, Placebo-controlled, Multicenter Clinical Study（TOPS-CSVD）","

1. Age 50-80 years (both inclusive);
2. Complaints of cognitive impairment involving memory and/or other cognitive domains for at least 3 months;
3. Neither normal nor demented cognitive level according to DSM-V criteria, MMSE scale score ≥20 (elementary school) or ≥24 (junior high school and above); CDR scale score ≥0.5 in at least one domain and overall CDR score ≤1;
4. MRI has: ① moderate to severe white matter lesions (deep Fazekas score \> 1 or paraventricular Fazekas score \> 2); Mild white matter hyperintensity (deep Fazekas score = 1 or paraventricular Fazekas score = 2) combined with more than 1 lacunar infarction or more than 3 microbleeds foci. ② Absence of old cortical or watershed infarction, cerebral hemorrhage, hydrocephalus, and other cerebral white matter lesions of definite etiology (e.g., multiple sclerosis, metabolic, toxic, etc.);
5. Voluntary participation in the study and willing to sign the Informed Consent Form.

","[""How old are you?"", ""Have you experienced cognitive impairment in memory and/or other cognitive domains for at least 3 months?"", ""According to DSM-V criteria, is your cognitive level neither normal nor demented? (MMSE scale score \u226520 for elementary school or \u226524 for junior high school and above)"", ""Does your CDR scale score meet the following criteria: \u22650.5 in at least one domain and overall CDR score \u22641?"", ""Does your MRI show moderate to severe white matter lesions (deep Fazekas score >1 or paraventricular Fazekas score >2) or mild white matter hyperintensity (deep Fazekas score =1 or paraventricular Fazekas score =2) combined with more than 1 lacunar infarction or more than 3 microbleeds foci?"", ""Do you have old cortical or watershed infarction, cerebral hemorrhage, hydrocephalus, or other cerebral white matter lesions of definite etiology (e.g., multiple sclerosis, metabolic, toxic, etc.)?"", ""Are you willing to voluntarily participate in the study and sign the Informed Consent Form?""]"
NCT05111444,Camrelizumab Plus Pyrotinib Plus Chemotherapy in Human Epidermal Growth Factor Receptor 2 Positive (HER2+) Advanced Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma,"

1. Age 18 years or older.
2. Histologically or cytologically confirmed diagnosis of locally advanced unresectable or metastatic HER2 positive gastric or GEJ adenocarcinoma.
3. Patients have not received systemic treatment in the past but had disease progression more than 6 months after receiving neoadjuvant therapy or the last of adjuvant therapy could be enrolled or failure of first-line therapy or completion of (new) adjuvant therapy to disease recurrence less than 6 months.
4. HER2-positive defined as either immunohistochemistry (IHC) 3+ or IHC 2+ in combination with fluorescent in-situ hybridization (FISH+ is defined as HER2:CEP17 ratio≥2.0), as assessed by central review on primary or metastatic tumor.
5. ECOG performance status 0-1.
6. At least one measurable lesion exists as defined by RECIST 1.1 .
7. Life expectancy of more than 12 weeks.

","[""Are you 18 years of age or older?"", ""Do you have a histologically or cytologically confirmed diagnosis of locally advanced unresectable or metastatic HER2 positive gastric or GEJ adenocarcinoma?"", ""How many months have passed since your last neoadjuvant therapy or the recurrence of your disease after the completion of your (new) adjuvant therapy?"", ""Is your HER2 status positive, as defined by immunohistochemistry (IHC) 3+ or IHC 2+ in combination with fluorescent in-situ hybridization (FISH+ is defined as HER2:CEP17 ratio\u22652.0)?"", ""What is your ECOG performance status?"", ""How many measurable lesions do you have as defined by RECIST 1.1?"", ""What is your life expectancy?""]"
NCT04677192,Microwave Ablation Combined With Chemotherapy in the Treatment of Pancreatic Cancer Oligohepatic Metastasis,"

* Age: 18 to 75years old, male or female;
* ECOG PS: 0-2 points;
* Patients with pancreatic ductal adenocarcinoma diagnosed by histology or cytology;
* Expected survival time\> 3 months;
* The functions of important organs meet the following requirements;
* The maximum diameter of single lesion ≤ 5cm or the number of multiple lesions ≤ 5 and the maximum diameter ≤ 3cm;
* Measurable lesions that meet RECIST criteria.

  1. Platelet ≥75×109/L, hemoglobin ≥85g/L，white blood cell ≥ 3.0 × 109 / L;
  2. Total bilirubin ≤ 1.5 times upper limit of normal value (ULN) ; ALT and AST ≤ 5 times ULN ;
  3. Albumin ≥ 28g / L;
  4. Creatinine ≤ 1.5 times ULN, or creatinine clearance rate ≥ 50ml / min;
* Women of childbearing age must undergo a negative pregnancy test (βHCG) before starting treatment. Women and men of childbearing age (sexual relationships with women of childbearing age) must agree to use them effectively during treatment and 3 months after the last dose of treatment Contraceptive measures;
* Signature of patient information and informed consent.
* Patients who did not participate in other clinical trials within 4 weeks before screening; those who failed in other trials but met the requirements of this trial could be enrolled.

","[""What is your age?"", ""Do you have a diagnosis of pancreatic ductal adenocarcinoma?"", ""What is your ECOG PS score?"", ""How long do you expect to survive?"", ""Do you have any measurable lesions that meet RECIST criteria?"", ""What is the maximum diameter of your single lesion?"", ""How many multiple lesions do you have and what is their maximum diameter?"", ""What is your platelet count?"", ""What is your hemoglobin level?"", ""What is your white blood cell count?"", ""What is your total bilirubin level?"", ""What is your ALT level?"", ""What is your AST level?"", ""What is your albumin level?"", ""What is your creatinine level?"", ""What is your creatinine clearance rate?"", ""Are you a woman of childbearing age?"", ""Have you undergone a negative pregnancy test (\u03b2HCG) before starting treatment?"", ""Do you agree to use effective contraceptive measures during treatment and 3 months after the last dose of treatment?"", ""What is your signature on the patient information and informed consent?"", ""Have you participated in any other clinical trials within 4 weeks before screening?"", ""Have you failed in other trials but met the requirements of this trial?""]"
NCT05577689,Novel Therapy Target in Metastatic Prostate Cancer,"

1. Histologically confirmed prostate cancer
2. metastatic disease confirmed by image examination
3. Patients who can undergo surgery or biopsy for prostate cancer
4. Able to provide informed consent

","[""Has your prostate cancer been histologically confirmed?"", ""Does your prostate cancer have metastatic disease confirmed by image examination?"", ""Are you able to undergo surgery or biopsy for your prostate cancer?"", ""Can you provide informed consent for the study?""]"
NCT05848310,Preoperative Serum FGF19 in the Prognosis of Biliary Atresia,"

* Samples diagnosed as biliary atresia in Children's Hospital of Fudan University
* Samples with one-year follow-up records after surgery
* Samples with a record of serum total bilirubin levels three months after surgery
* Samples with preoperative serum left（volume \> 500ul)

","[""Were you diagnosed with biliary atresia at Children's Hospital of Fudan University?"", ""How long have you had follow-up records after surgery?"", ""What were your serum total bilirubin levels three months after surgery?"", ""How much serum was collected before your surgery?""]"
NCT06218810,"Cadonilimab in Combination With Bevacizumab and FOLFOX Regimen for the First-Line Treatment of Advanced Unresectable MSS-Type, RAS-Mutated Metastatic Colorectal Cancer","

1. Voluntarily sign a written ICF.
2. Age at enrollment: ≥ 18 years old, ≤ 75 years old, both male and female.
3. The Eastern Cancer Collaborative Organization (ECOG) has a physical fitness score of 0 or 1.
4. The expected survival period is ≥ 3 months.
5. Subjects diagnosed with metastatic colorectal adenocarcinoma by histology or cytology.
6. Colorectal cancer patients who have not received systematic anti-tumor therapy in the past and are not suitable for radical surgical resection or local treatment.
7. Genetic testing results indicate pMMR or MSS; RAS mutation;
8. According to RECIST v1.1, there is at least one measurable lesion that is suitable for repeated and accurate measurements. Note: Brain metastases cannot be used as target lesions; For lesions that have received radiation therapy before, it is not recommended to select them as target lesions. If there are no other lesions that meet the target lesion criteria, and the lesion can be measured according to RECIST v1.1 and there is objective evidence to prove significant progression after radiation therapy, the irradiated lesion can be considered as a target lesion.

","[""Have you voluntarily signed a written ICF?"", ""What is your age at the time of enrollment? (Enter age in years.)"", ""Does your Eastern Cancer Collaborative Organization (ECOG) physical fitness score indicate 0 or 1?"", ""How long is your expected survival period? (Enter in months.)"", ""Have you been diagnosed with metastatic colorectal adenocarcinoma by histology or cytology?"", ""Have you received systematic anti-tumor therapy in the past?"", ""Is your tumor suitable for radical surgical resection or local treatment?"", ""According to genetic testing results, is your colorectal cancer characterized by pMMR or MSS; RAS mutation?"", ""How many measurable lesions do you have according to RECIST v1.1?"", ""Have you had any radiation therapy for any of your lesions before?"", ""If selected as a target lesion, can the lesion be measured according to RECIST v1.1 and is there objective evidence of significant progression after radiation therapy?""]"
NCT05881746,Anatomical Resection VS. Nonanatomical Resection for Colorectal Liver Metastases With Gene Mutation or Right-sidedness,"

1. Age ≥ 18 and ≤ 75 years;
2. Histological proof of colorectal adenocarcinoma;
3. Resectable colorectal liver metastasis without detectable extrahepatic distant metastatic disease (determined by a local MDT);
4. Suitable for anatomical or nonanatomical liver resection (determined by a local MDT);
5. Number of metastasis is 1 to 3;
6. KRAS/NRAS/BRAF mutation or right-sidedness;
7. Performance Status (ECOG) 0\~1;
8. Adequate hematological function: Neutrophils≥1.5 x109/l and platelet count≥100 x109/l; Hb ≥9g/dl (within 1 week prior to randomization);
9. Adequate liver and renal function: total bilirubin ≤2.0 mg/dl, serum transaminases ≤ 5x upper limit of normal(ULN), and serum creatinine ≤ 1.5x ULN and creatinine clearance ≥ 30 ml/min;
10. Written informed consent.

","[""How old are you?"", ""Do you have histological proof of colorectal adenocarcinoma?"", ""Does your colorectal liver metastasis meet the criteria for resectability without detectable extrahepatic distant metastatic disease?"", ""Are you suitable for anatomical or nonanatomical liver resection?"", ""How many colorectal liver metastases do you have?"", ""Does your cancer have a KRAS/NRAS/BRAF mutation or is it located on the right side?"", ""What is your Performance Status (ECOG)?"", ""What is your neutrophil count?"", ""What is your platelet count?"", ""What is your hemoglobin level?"", ""What is your total bilirubin level?"", ""What is your serum transaminase level?"", ""What is your serum creatinine level?"", ""What is your creatinine clearance?"", ""Have you provided written informed consent?""]"
NCT04668703,Prophylactic Effect of Conbercept Intravitreal Injection at the Conclusion of Cataract Surgery for Diabetic Macular Edema,"

* Patients sign informed consent, and are willing and able to comply with all the follow-ups
* Age ≥ 18 years , both genders
* Diagnosis of type 1 or type 2 diabetes mellitus
* Serum HbA1c ≤ 10%
* Patients with a diagnosis of DR (ETDRS 35-53) and cataract

","[""Can you confirm that you have signed an informed consent form and agree to comply with all follow-up appointments?"", ""What is your age?"", ""Have you been diagnosed with type 1 or type 2 diabetes mellitus?"", ""What is your serum HbA1c level?"", ""Have you been diagnosed with diabetic retinopathy (ETDRS 35-53) and cataract?""]"
NCT06202404,Predicting Tumor Metastasis by Employing a Target Organ/Primary Lesion Fusion Radiomics Model,"

1. ECOG performance status score 0-2;
2. Histologically or cytologically confirmed stage III-IV NSCLC;
3. If the baseline pathology is adenocarcinoma, driver gene testing (at least EGFR/ALK/ROS1/KRAS/MET) should be performed;
4. Complete imaging data of baseline stage (contrast-enhanced MR For lung cancer, contrast-enhanced MR/CT for colorectal cancer, and chest CT for breast cancer);
5. No target organ metastasis on baseline imaging (no brain/liver/lung metastasis for lung cancer/colorectal cancer/breast cancer, respectively);
6. Patients received at least one systemic therapy (chemotherapy, targeted therapy, immunotherapy, etc.) and received regular follow-up;
7. Regular follow-up during and after treatment;
8. Life expectancy ≥6 months;

","[""What is your ECOG performance status score?"", ""Have you been histologically or cytologically confirmed with stage III-IV NSCLC?"", ""What is the baseline pathology of your cancer?"", ""Have you undergone driver gene testing (at least EGFR/ALK/ROS1/KRAS/MET)?"", ""Can you provide complete imaging data of your baseline stage?"", ""Do you have any target organ metastasis on baseline imaging?"", ""How many systemic therapies (chemotherapy, targeted therapy, immunotherapy, etc.) have you received?"", ""Can you undergo regular follow-up during and after treatment?"", ""What is your life expectancy?""]"
