nct_id,study_title,inclusion_criteria,inclusion_criteria_questions
NCT04980599,Effect of a Probiotic Strain Lactobacillus Paracasei K56 on Metabolic Symptom - a Pilot Study,"

* BMI\>=30kg/m2,or percent of body fat(PBF) \>=25% for male, \>=30 for female.
* Age: 18 - 60 years old adults

","[""What is your BMI (body mass index)?"", ""Is your BMI 30 kg/m2 or higher?"", ""What is your percentage of body fat (PBF)?"", ""Is your PBF 25% or higher if you are male, or 30% or higher if you are female?"", ""How old are you?"", ""Are you between 18 and 60 years old?""]"
NCT06061692,"Tongxinluo Capsule in the Treatment of Cerebral Small Vessel Disease-A Randomized, Double-blind, Placebo-controlled, Multicenter Clinical Study（TOPS-CSVD）","

1. Age 50-80 years (both inclusive);
2. Complaints of cognitive impairment involving memory and/or other cognitive domains for at least 3 months;
3. Neither normal nor demented cognitive level according to DSM-V criteria, MMSE scale score ≥20 (elementary school) or ≥24 (junior high school and above); CDR scale score ≥0.5 in at least one domain and overall CDR score ≤1;
4. MRI has: ① moderate to severe white matter lesions (deep Fazekas score \> 1 or paraventricular Fazekas score \> 2); Mild white matter hyperintensity (deep Fazekas score = 1 or paraventricular Fazekas score = 2) combined with more than 1 lacunar infarction or more than 3 microbleeds foci. ② Absence of old cortical or watershed infarction, cerebral hemorrhage, hydrocephalus, and other cerebral white matter lesions of definite etiology (e.g., multiple sclerosis, metabolic, toxic, etc.);
5. Voluntary participation in the study and willing to sign the Informed Consent Form.

","[""What is your age?"", ""Do you have complaints of cognitive impairment involving memory and/or other cognitive domains?"", ""How long have you experienced cognitive impairment?"", ""What is your MMSE scale score?"", ""What is your education level?"", ""Do you have moderate to severe white matter lesions on MRI?"", ""What is your deep Fazekas score?"", ""What is your paraventricular Fazekas score?"", ""Do you have old cortical or watershed infarction, cerebral hemorrhage, hydrocephalus, or other cerebral white matter lesions of definite etiology?"", ""Are you willing to participate in this study and sign the Informed Consent Form?""]"
NCT05111444,Camrelizumab Plus Pyrotinib Plus Chemotherapy in Human Epidermal Growth Factor Receptor 2 Positive (HER2+) Advanced Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma,"

1. Age 18 years or older.
2. Histologically or cytologically confirmed diagnosis of locally advanced unresectable or metastatic HER2 positive gastric or GEJ adenocarcinoma.
3. Patients have not received systemic treatment in the past but had disease progression more than 6 months after receiving neoadjuvant therapy or the last of adjuvant therapy could be enrolled or failure of first-line therapy or completion of (new) adjuvant therapy to disease recurrence less than 6 months.
4. HER2-positive defined as either immunohistochemistry (IHC) 3+ or IHC 2+ in combination with fluorescent in-situ hybridization (FISH+ is defined as HER2:CEP17 ratio≥2.0), as assessed by central review on primary or metastatic tumor.
5. ECOG performance status 0-1.
6. At least one measurable lesion exists as defined by RECIST 1.1 .
7. Life expectancy of more than 12 weeks.

","[""How old are you?"", ""Have you been diagnosed with locally advanced unresectable or metastatic HER2 positive gastric or GEJ adenocarcinoma?"", ""How long has it been since you received neoadjuvant therapy or the last of adjuvant therapy?"", ""Have you received systemic treatment in the past?"", ""What is your HER2 status (IHC/FISH)?"", ""Do you have an ECOG performance status of 0 or 1?"", ""Do you have at least one measurable lesion as defined by RECIST 1.1?"", ""How long do you expect to live (in weeks)?""]"
NCT04677192,Microwave Ablation Combined With Chemotherapy in the Treatment of Pancreatic Cancer Oligohepatic Metastasis,"

* Age: 18 to 75years old, male or female;
* ECOG PS: 0-2 points;
* Patients with pancreatic ductal adenocarcinoma diagnosed by histology or cytology;
* Expected survival time\> 3 months;
* The functions of important organs meet the following requirements;
* The maximum diameter of single lesion ≤ 5cm or the number of multiple lesions ≤ 5 and the maximum diameter ≤ 3cm;
* Measurable lesions that meet RECIST criteria.

  1. Platelet ≥75×109/L, hemoglobin ≥85g/L，white blood cell ≥ 3.0 × 109 / L;
  2. Total bilirubin ≤ 1.5 times upper limit of normal value (ULN) ; ALT and AST ≤ 5 times ULN ;
  3. Albumin ≥ 28g / L;
  4. Creatinine ≤ 1.5 times ULN, or creatinine clearance rate ≥ 50ml / min;
* Women of childbearing age must undergo a negative pregnancy test (βHCG) before starting treatment. Women and men of childbearing age (sexual relationships with women of childbearing age) must agree to use them effectively during treatment and 3 months after the last dose of treatment Contraceptive measures;
* Signature of patient information and informed consent.
* Patients who did not participate in other clinical trials within 4 weeks before screening; those who failed in other trials but met the requirements of this trial could be enrolled.

","[""What is your age?"", ""Do you have an ECOG PS score of 0-2 points?"", ""Have you been diagnosed with pancreatic ductal adenocarcinoma by histology or cytology?"", ""What is your expected survival time?"", ""Do you have measurable lesions that meet RECIST criteria?"", ""What is your platelet count?"", ""Is your platelet count \u2265 75 \u00d7 10^9/L?"", ""What is your hemoglobin level?"", ""Is your hemoglobin level \u2265 85g/L?"", ""What is your white blood cell count?"", ""Is your white blood cell count \u2265 3.0 \u00d7 10^9/L?"", ""What is your total bilirubin level?"", ""Is your total bilirubin level \u2264 1.5 times the upper limit of normal value (ULN)?"", ""What are your ALT and AST levels?"", ""Are your ALT and AST levels \u2264 5 times ULN?"", ""What is your albumin level?"", ""Is your albumin level \u2265 28g/L?"", ""What is your creatinine level?"", ""Is your creatinine level \u2264 1.5 times ULN or is your creatinine clearance rate \u2265 50ml/min?"", ""Are you a woman of childbearing age? If so, what is the result of your pregnancy test (\u03b2HCG)?"", ""Do you agree to use effective contraceptive measures during treatment and 3 months after the last dose of treatment?"", ""Have you signed the patient information and informed consent?"", ""Have you participated in other clinical trials within 4 weeks before screening?""]"
NCT05577689,Novel Therapy Target in Metastatic Prostate Cancer,"

1. Histologically confirmed prostate cancer
2. metastatic disease confirmed by image examination
3. Patients who can undergo surgery or biopsy for prostate cancer
4. Able to provide informed consent

","[""Have you been histologically confirmed with prostate cancer?"", ""Have you been diagnosed with metastatic disease confirmed by image examination?"", ""What type of surgery or biopsy have you undergone for prostate cancer?"", ""Have you provided informed consent for this study?""]"
NCT05848310,Preoperative Serum FGF19 in the Prognosis of Biliary Atresia,"

* Samples diagnosed as biliary atresia in Children's Hospital of Fudan University
* Samples with one-year follow-up records after surgery
* Samples with a record of serum total bilirubin levels three months after surgery
* Samples with preoperative serum left（volume \> 500ul)

","[""Have you been diagnosed with biliary atresia at Children's Hospital of Fudan University?"", ""How long have you been followed up after surgery?"", ""What is your serum total bilirubin level three months after surgery?"", ""How much preoperative serum left do you have? (unit: ul)"", ""Is your preoperative serum left more than 500ul?""]"
NCT06218810,"Cadonilimab in Combination With Bevacizumab and FOLFOX Regimen for the First-Line Treatment of Advanced Unresectable MSS-Type, RAS-Mutated Metastatic Colorectal Cancer","

1. Voluntarily sign a written ICF.
2. Age at enrollment: ≥ 18 years old, ≤ 75 years old, both male and female.
3. The Eastern Cancer Collaborative Organization (ECOG) has a physical fitness score of 0 or 1.
4. The expected survival period is ≥ 3 months.
5. Subjects diagnosed with metastatic colorectal adenocarcinoma by histology or cytology.
6. Colorectal cancer patients who have not received systematic anti-tumor therapy in the past and are not suitable for radical surgical resection or local treatment.
7. Genetic testing results indicate pMMR or MSS; RAS mutation;
8. According to RECIST v1.1, there is at least one measurable lesion that is suitable for repeated and accurate measurements. Note: Brain metastases cannot be used as target lesions; For lesions that have received radiation therapy before, it is not recommended to select them as target lesions. If there are no other lesions that meet the target lesion criteria, and the lesion can be measured according to RECIST v1.1 and there is objective evidence to prove significant progression after radiation therapy, the irradiated lesion can be considered as a target lesion.

","[""Have you voluntarily signed a written ICF?"", ""What is your age?"", ""What is your ECOG physical fitness score?"", ""What is your expected survival period?"", ""Have you been diagnosed with metastatic colorectal adenocarcinoma by histology or cytology?"", ""Have you received systematic anti-tumor therapy in the past?"", ""Are you suitable for radical surgical resection or local treatment?"", ""What are your genetic testing results (pMMR or MSS; RAS mutation)?"", ""Do you have at least one measurable lesion that is suitable for repeated and accurate measurements?"", ""Have you received radiation therapy before?""]"
NCT05881746,Anatomical Resection VS. Nonanatomical Resection for Colorectal Liver Metastases With Gene Mutation or Right-sidedness,"

1. Age ≥ 18 and ≤ 75 years;
2. Histological proof of colorectal adenocarcinoma;
3. Resectable colorectal liver metastasis without detectable extrahepatic distant metastatic disease (determined by a local MDT);
4. Suitable for anatomical or nonanatomical liver resection (determined by a local MDT);
5. Number of metastasis is 1 to 3;
6. KRAS/NRAS/BRAF mutation or right-sidedness;
7. Performance Status (ECOG) 0\~1;
8. Adequate hematological function: Neutrophils≥1.5 x109/l and platelet count≥100 x109/l; Hb ≥9g/dl (within 1 week prior to randomization);
9. Adequate liver and renal function: total bilirubin ≤2.0 mg/dl, serum transaminases ≤ 5x upper limit of normal(ULN), and serum creatinine ≤ 1.5x ULN and creatinine clearance ≥ 30 ml/min;
10. Written informed consent.

","[""What is your age?"", ""Do you have a histological proof of colorectal adenocarcinoma?"", ""Do you have resectable colorectal liver metastasis without detectable extrahepatic distant metastatic disease?"", ""Is your liver metastasis suitable for anatomical or nonanatomical liver resection?"", ""How many metastases do you have?"", ""Do you have a KRAS/NRAS/BRAF mutation or right-sidedness?"", ""What is your Performance Status (ECOG)?"", ""What is your neutrophil count?"", ""What is your platelet count?"", ""What is your hemoglobin level?"", ""What is your total bilirubin level?"", ""What is your serum transaminase level?"", ""What is your serum creatinine level?"", ""What is your creatinine clearance?"", ""Have you given written informed consent?""]"
NCT04668703,Prophylactic Effect of Conbercept Intravitreal Injection at the Conclusion of Cataract Surgery for Diabetic Macular Edema,"

* Patients sign informed consent, and are willing and able to comply with all the follow-ups
* Age ≥ 18 years , both genders
* Diagnosis of type 1 or type 2 diabetes mellitus
* Serum HbA1c ≤ 10%
* Patients with a diagnosis of DR (ETDRS 35-53) and cataract

","[""Have you signed an informed consent and are willing to comply with all follow-ups?"", ""What is your age?"", ""Do you have a diagnosis of type 1 or type 2 diabetes mellitus?"", ""What is your current serum HbA1c level?"", ""Is your serum HbA1c level 10% or less?"", ""Have you been diagnosed with diabetic retinopathy (DR) with an ETDRS score between 35-53?"", ""Do you have a diagnosis of cataract?""]"
NCT06202404,Predicting Tumor Metastasis by Employing a Target Organ/Primary Lesion Fusion Radiomics Model,"

1. ECOG performance status score 0-2;
2. Histologically or cytologically confirmed stage III-IV NSCLC;
3. If the baseline pathology is adenocarcinoma, driver gene testing (at least EGFR/ALK/ROS1/KRAS/MET) should be performed;
4. Complete imaging data of baseline stage (contrast-enhanced MR For lung cancer, contrast-enhanced MR/CT for colorectal cancer, and chest CT for breast cancer);
5. No target organ metastasis on baseline imaging (no brain/liver/lung metastasis for lung cancer/colorectal cancer/breast cancer, respectively);
6. Patients received at least one systemic therapy (chemotherapy, targeted therapy, immunotherapy, etc.) and received regular follow-up;
7. Regular follow-up during and after treatment;
8. Life expectancy ≥6 months;

","[""What is your ECOG performance status score?"", ""Have you been diagnosed with stage III-IV NSCLC?"", ""What type of lung cancer do you have (e.g. adenocarcinoma, squamous cell carcinoma, etc.)?"", ""Have you undergone driver gene testing (at least EGFR/ALK/ROS1/KRAS/MET)?"", ""What is the result of your baseline imaging (e.g. contrast-enhanced MR/CT, chest CT)?"", ""Do you have any target organ metastasis on baseline imaging?"", ""How many systemic therapies have you received?"", ""Have you received regular follow-up during and after treatment?"", ""What is your estimated life expectancy?""]"
