nct_id,study_title,inclusion_criteria,inclusion_criteria_questions
NCT04375579,Multi-domain Assessment and Quality of Life in Patients Older Than 60 Years Receiving an Allogeneic Hematopoietic Stem Cell Transplantation (HSCT),"1、60 years or more at time of transplantation
2、Acute leukemia
3、Myelodysplastic syndrome
4、Myeloproliferative neoplasm","[""Is the patient 60 years or more at the time of transplantation?"", ""Does the patient have acute leukemia?"", ""What is the age of the patient at the time of transplantation?"", ""Is the patient diagnosed with myelodysplastic syndrome?"", ""What type of neoplasm does the patient have - myeloproliferative neoplasm?""]"
NCT05850351,"The Effect of 12-Week-Virtual Reality Based Tele-Exercises on Exercise Capacity in Cystic Fibrosis Patients: A Randomized Controlled, Single (Assessor)-Blind Study","1、12 and 16 years,
2、Clinical stability without disease exacerbations in the 4 weeks prior to their enrollment into the study
3、Having access to internet and parental or legal caregiver consent","[""Are you between 12 and 16 years old?"", ""Have you experienced any disease exacerbations in the 4 weeks prior to your enrollment into the study?"", ""Do you have access to the internet?"", ""Do you have parental or legal caregiver consent?""]"
NCT05799560,Determination of the Effect of Therapeutic Touch and Reiki Application on Anxiety and Stress Levels in Female Academicians,"1、Academicians who do not have any communication problems
2、Do not have psychological problems","[
    {
        ""question"": ""Are you an academician?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    },
    {
        ""question"": ""Do you have any communication problems?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    },
    {
        ""question"": ""Do you experience psychological problems?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    }
]
"
NCT03938571,Torsby I Trial: A Prospectively Randomized Study on Standard Duodenal Switch vs. Single Anastomosis Duodeno-ileostomy Duodenal Switch,"1、BMI over 45
2、Ability to understand the legal background of a study","[""Is your BMI over 45?"", ""Do you have the ability to understand the legal background of a study?"", ""What is your current BMI? (Fill in the blank)""]"
NCT05514626,Three-dimensional (3D) Holographic Display for Ultrasound-Guided Structural Heart Disease Procedures,"1、Patients over the age of 18
2、Patients are scheduled to undergo an elective procedure in the Cardiac Catheterization Laboratory which use 3D echocardiography (ECHO) as part of the procedure.","[
    {
        ""question"": ""Are you over the age of 18?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    },
    {
        ""question"": ""Are you scheduled to undergo an elective procedure?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    },
    {
        ""question"": ""If yes to the previous question, is the elective procedure in the Cardiac Catheterization Laboratory?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    },
    {
        ""question"": ""Will the elective procedure in the Cardiac Catheterization Laboratory involve the use of 3D echocardiography (ECHO)?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    }
]
"
NCT04815798,"A Randomized, Double-blind Study to Evaluate the Safety, Tolerability, and Potential Efficacy of BACTELIDE vs. Placebo in Addition to Standard-of-care Therapy for S. Aureus, P. Aeruginosa, and K. Pneumoniae Colonized Pressure Injuries","1、Provision of signed and dated informed consent form
2、Stated willingness to comply with all study procedures and availability for the duration of the study
3、Stated willingness to comply with lifestyle considerations
4、Male or female, 18 years or older presenting in long-term care facilities, out-patient department or in-hospital patients with a stage II, III or IV pressure injury with or without local signs of infection with a size not exceeding 28 cm2
5、Within 72 hours before randomization, pressure injury specimen positive for S. aureus, P. aeruginosa, or K. pneumoniae determined by qPCR or rapid diagnostic test or conventional method or positive growth on specific agar.
6、For females of reproductive potential: use of a highly effective contraception for at least 1 month prior to screening and agreement to use such a method during study participation and for an additional 4 weeks after the end of administration of the study intervention
7、For males of reproductive potential: use of condoms or other methods to ensure effective contraception with partner.","[
    {
        ""question"": ""Have you provided a signed and dated informed consent form?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    },
    {
        ""question"": ""Are you willing to comply with all study procedures and available for the duration of the study?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    },
    {
        ""question"": ""Are you willing to comply with lifestyle considerations?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    },
    {
        ""question"": ""What is your age?"",
        ""type"": ""1""
    },
    {
        ""question"": ""Do you currently have a stage II, III, or IV pressure injury with or without local signs of infection, and does the size not exceed 28 cm2?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    },
    {
        ""question"": ""Within the last 72 hours before randomization, was your pressure injury specimen positive for S. aureus, P. aeruginosa, or K. pneumoniae as determined by qPCR, rapid diagnostic test, conventional method, or positive growth on specific agar?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    },
    {
        ""question"": ""For females of reproductive potential, have you been using a highly effective contraception for at least 1 month prior to screening, and do you agree to use such a method during the study and for an additional 4 weeks after the end of administration of the study intervention?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    },
    {
        ""question"": ""For males of reproductive potential, are you using condoms or other methods to ensure effective contraception with your partner?"",
        ""type"": ""2"",
        ""option"": [""Yes"", ""No""]
    }
]
"
NCT05426928,"Development of a Computational, Thermodynamic Model of Intraabdominal Hyperthermia in Humans Undergoing HIPEC","1、Adults (at least 18 years or older)
2、Scheduled to undergo HIPEC surgery for abdominal cancer at HFH-Main","[""Are you at least 18 years old?"", ""Are you scheduled to undergo HIPEC surgery for abdominal cancer at HFH-Main?""]"
NCT06144827,Pilot Study to Assess the Role of Blood-based Biomarkers and Quantitative MR Imaging,"1、Patient has the psychological ability and general health needed to provide informed consent, completion of study requirements, and required follow-up
2、Patient provides study-specific informed consent prior to study entry
3、All primary histologies (Hepatocellular carcinoma or Cholangiocarcinoma) as well as hepatic metastases are eligible
4、Prior history of radiation therapy (external beam or radioembolization) is allowed, with no limit to the number of prior courses of radiation therapy
5、Any number of lesions (with no size limit) of pathologically documented (histologically or cytologically) or radiographically proven tumor/metastasis that are being targeted
6、Prior history of chemotherapy, immunotherapy, or targeted biological therapy is allowed
7、Concurrent enrollment on other prospective registry or treatment intention trials is allowed","[""Do you have the psychological ability and general health needed to provide informed consent, complete study requirements, and undergo required follow-up?"", ""Have you provided study-specific informed consent prior to study entry?"", ""Do you have either Hepatocellular carcinoma or Cholangiocarcinoma as your primary histology? (Yes/No)"", ""Have you undergone any prior history of radiation therapy (external beam or radioembolization)?"", ""How many prior courses of radiation therapy have you had? (Fill in the blank)"", ""Do you have any lesions (with no size limit) that are pathologically documented (histologically or cytologically) or radiographically proven tumor/metastasis being targeted?"", ""Have you had a prior history of chemotherapy, immunotherapy, or targeted biological therapy?"", ""Are you concurrently enrolled in other prospective registry or treatment intention trials?""]"
NCT04286542,Identification of Mediators Associated With Presence of Nasal Hyperreactivity in Allergic Rhinitis and Chronic Rhinosinusitis,"1、18-65 years
2、positive skin prick test for house dust mite (for allergic rhinitis group), presence of nasal polyps (for chronic rhinosinusitis with nasal polyps group)
3、VAS-score >5 for rhino(sinus)itis symptoms","[""What is your age?"", ""Did you test positive in a skin prick test for house dust mite? (For allergic rhinitis group)"", ""Do you have the presence of nasal polyps? (For chronic rhinosinusitis with nasal polyps group)"", ""Is your VAS-score for rhino(sinus)itis symptoms greater than 5?""]"
NCT04368884,"A Prospective, Longitudinal, Observational Study to Assess the Seroconversion Status of Front Line Health Care Workers and Comparison With the Suspected or Confirmed Cases of COVID-19 Patients at Max Health Care (Project D)","1、Healthcare workers of Max Hospital, irrespective of age and gender OR
2、COVID-19 positive patients admitted in the hospital OR
3、Out-patients getting tested for COVID-19","[""Are you a healthcare worker at Max Hospital?"", ""Are you a COVID-19 positive patient admitted to the hospital?"", ""Are you an out-patient getting tested for COVID-19?"", ""What is your age?""]"
